Poem Name,Poet,Line,Metaphor present or not,count of the metaphor,metaphorical terms, Meaning
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පිංතූරෙයෙ වීදුරුවට මුවා වෙලා මා දිහාව,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පෙම් වතුරෙන් තෙමා ලන්න,ඔව්,1,පෙම් වතුරෙන් තෙමා ලන්න,ප්‍රේමය නමැති වතුරෙන් තෙමන්න
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දෑසෙ මගේ කඳුලු ඔබයි,ඔව්,1,දෑසෙ මගේ කඳුලු ඔබයි,මගේ දෑසේ කඳුලු ඔබයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගේ හදේ ගැස්ම ඔබයි,ඔව්,1,මගේ හදේ ගැස්ම ඔබයි,මගේ හද ගැස්ම ඔබයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නහර පුරා පිරී ඇත්තෙ ඔබ පමනයි,ඔව්,1,නහර පුරා පිරී ඇත්තෙ ඔබ පමනයි,ඔබ පිළිබඳව මගේ නහර පුරා විහිදී ඇත
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හැංගි හොරා වෙන එකියක් ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,තුරුල්ලෙ මා මිරිකුනාට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සදා සිහිනෙ ඔබයි මගේ,ඔව්,1,සදා සිහිනෙ ඔබයි මගේ,මගේ සිහිනය ඔබයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මා ලඟ නැති විට සොඳුරිය,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අඳුරු ගේකි මුලු සිරුරම,ඔව්,1,අඳුරු ගේකි මුලු සිරුරම,මුළු සිරුරම අඳුරු ගෙයක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගේ ඇඟේ ගැවෙන්නකො,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"සේයාවට දී ගෙන පන,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගේ එකම ආලෝකය.,ඔව්,1,මගේ එකම ආලෝකය.,ඔබ මගේ එකම ආලෝකයයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ආදරයට ගුලි වී,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ලැග ඉන්නට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අවසරයක් නැත.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නැත මගෙ පෙම් පිඬ,ඔව්,1,පෙම් පිඬ,පිඬක් වැනි ආදරය 
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කාලය ආලයෙ තලා දමයි ගෙල;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සාක්කුවෙන් ගෙන,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගනන් කරල දෙන,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හාදු දෙකයි මුලු දිවියෙම උනුසුම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කාලය නවතින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කාලය නවතින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හුස්ම ගන්න පොඩ්ඩක් නවතින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කටුවට වී හිටපන් ගොලු බෙල්ලෝ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පෑගෙනවා මයි ආවොත් එලියට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ශිෂ්ටාචාරයෙ හැඩි දැඩි කකුලට,ඔව්,1,ශිෂ්ටාචාරයෙ හැඩි දැඩි කකුලට,ශිෂ්ටාචාරය නැමැති  සීමාවන්ට
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජිවිතයේ මිරිකා දාලා ගෙල,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පැන යයි ආලයෙ රීරි යකා,ඔව්,1,ආලයෙ රීරි යකා,ආලය නැමැති රීරි යකා
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,තනි වී මා මුලු රෑ තිස්සේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මතුරන්නේ සීතල මල් කඳකට;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අති'නත අරගෙන යන්නට බෑ.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ආලයෙ පන නල අන්ධකාරයයි.,ඔව්,1,ආලයෙ පන නල අන්ධකාරයයි.,ආදරයෙ පන අන්ධකාරයයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දනමුතු කම එහි පිහි පහරයි.,ඔව්,1,දනමුතු කම එහි පිහි පහරයි.,දැනුම පිහි පහරක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වදෙන් පොරෙන් දහ දුක් විඳ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දිවි කැකුලක් පරව යාවි;,ඔව්,1,දිවි කැකුලක් පරව යාවි,කුඩා ජීවිතයක් අහිමි වෙයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කැබලි ආප්ප පිලුන් පිට්ටු,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඇල් වතුරෙන් පොඟව ගන්න.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නිදි මැරුවත් මුලු රැයක්ම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අගයක් නැත සුර දූතිය.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දිවියෙ වවුල් හප හතර වටේටම,ඔව්,1,දිවියෙ වවුල් හප,ජීවිතය වවුල් හප
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හතර වටේටම දිවියෙ වවුල් හප,ඔව්,1,දිවියෙ වවුල් හප,ජීවිතය වවුල් හප
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ආලය පතුලෙහි ගිනිවැලි පමනයි;,නැත,0,,
